,CIERRE,
2013.472,39481.5,
2013.476,39269.3,
2013.48,39549.5,
2013.484,39460,
2013.488,39044.9,
2013.492,37517.2,
2013.496,38036.5,
2013.5,37517.4,
2013.504,37901.8,
2013.508,38805.3,
2013.512,39650.8,
2013.516,40623.3,
2013.52,41176.8,
2013.524,40832.5,
2013.528,40828.9,
2013.532,41200.4,
2013.536,40623.1,
2013.54,40071.6,
2013.544,40221,
2013.548,39999,
2013.552,40479.8,
2013.556,40329.8,
2013.56,40322.3,
2013.564,39659.5,
2013.568,40240.2,
2013.572,40245.3,
2013.576,39891.7,
2013.58,40117.7,
2013.584,40790.2,
2013.588,40839,
2013.592,40752.1,
2013.596,41064.6,
2013.6,40341.9,
2013.604,40236.6,
2013.608,40837.9,
2013.612,41863.8,
2013.616,42051.6,
2013.62,41918.4,
2013.624,41914.8,
2013.628,42246.5,
2013.632,42712.1,
2013.636,42648.7,
2013.64,42124.8,
2013.644,42366.4,
2013.648,42430.1,
2013.652,42155.3,
2013.656,42049.7,
2013.66,41484.3,
2013.664,41825.4,
2013.668,41458.2,
2013.672,41007.4,
2013.676,40925.1,
2013.68,40419.9,
2013.684,39656,
2013.688,39248.1,
2013.692,39162.5,
2013.696,39492.4,
2013.7,40129,
2013.704,39541.5,
2013.708,39773.5,
2013.712,39686.4,
2013.716,39915.1,
2013.72,40953.9,
2013.724,41733,
2013.728,41640.5,
2013.732,40785.7,
2013.736,41122.5,
2013.74,41137.7,
2013.744,41902.2,
2013.748,41752.3,
2013.752,41226,
2013.756,41314.7,
2013.76,41209.9,
2013.764,41724,
2013.768,41327.6,
2013.772,40903.6,
2013.776,40185.2,
2013.78,41335.3,
2013.784,41300.7,
2013.788,40841.1,
2013.792,40909.5,
2013.796,40451.2,
2013.8,39916.8,
2013.804,39866.2,
2013.808,40489.9,
2013.812,40975.4,
2013.816,40882.1,
2013.82,40218.3,
2013.824,40355.3,
2013.828,40199.5,
2013.832,40412.7,
2013.836,40345.8,
2013.84,40813.5,
2013.844,40552.6,
2013.848,40246.7,
2013.852,40671.6,
2013.856,41125,
2013.86,41284.4,
2013.864,41050.1,
2013.868,41038.6,
2013.872,41079.6,
2013.876,41013.7,
2013.88,40304.4,
2013.884,40280.1,
2013.888,40009.9,
2013.892,39864.2,
2013.896,39686.8,
2013.9,39594.6,
2013.904,39765.9,
2013.908,40306.7,
2013.912,41034.1,
2013.916,40643.3,
2013.92,40795.6,
2013.924,40998.4,
2013.928,41199,
2013.932,40948.4,
2013.936,41002.7,
2013.94,41872.6,
2013.944,42160.4,
2013.948,42499.1,
2013.952,42138.6,
2013.956,41876.9,
2013.96,42003.6,
2013.964,41910.1,
2013.968,41925.5,
2013.972,42289.2,
2013.976,42490.1,
2013.98,42304.6,
2013.984,41884.8,
2013.988,42054,
2013.992,41758.6,
2013.996,42079.9,
2014,42198.3,
2014.004,42183.8,
2014.008,42508,
2014.012,42585.7,
2014.016,42540.3,
2014.02,42753.2,
2014.024,42958.8,
2014.028,42727.1,
2014.032,42188.4,
2014.036,42065,
2014.04,41525.9,
2014.044,41778.6,
2014.048,41515.5,
2014.052,41585.5,
2014.056,42458.5,
2014.06,42158.6,
2014.064,42439.8,
2014.068,42511.3,
2014.072,42172.7,
2014.076,41911.3,
2014.08,41976.4,
2014.084,41838.6,
2014.088,42062.8,
2014.092,41531.8,
2014.096,40979.8,
2014.1,40863.4,
2014.104,40660.9,
2014.108,40689.9,
2014.112,41008.3,
2014.116,40879.8,
2014.12,40085.5,
2014.124,39880.9,
2014.128,40288.8,
2014.132,40525.7,
2014.136,40116.4,
2014.14,40759.6,
2014.144,40690.1,
2014.148,40309,
2014.152,40710.9,
2014.156,40735.5,
2014.16,40421.9,
2014.164,40006.4,
2014.168,39654.2,
2014.172,39724.6,
2014.176,39792.7,
2014.18,39023.6,
2014.184,38605.6,
2014.188,38912.9,
2014.192,38782.9,
2014.196,38534.8,
2014.2,39084.4,
2014.204,39021.1,
2014.208,39176.3,
2014.212,38913,
2014.216,38671,
2014.22,38689.6,
2014.224,38634.8,
2014.228,38037.5,
2014.232,37951,
2014.236,38814.7,
2014.24,38811.9,
2014.244,39616.2,
2014.248,40021.7,
2014.252,39821.7,
2014.256,39793,
2014.26,39761.3,
2014.264,39911,
2014.268,40048.2,
2014.272,40461.6,
2014.276,40470,
2014.28,40900.5,
2014.284,40563.1,
2014.288,40598.3,
2014.292,40595.7,
2014.296,40906.8,
2014.3,40937.8,
2014.304,40448,
2014.308,40380.8,
2014.312,40530.7,
2014.316,40481.8,
2014.32,40890.5,
2014.324,40654.1,
2014.328,40468.2,
2014.332,40297,
2014.336,40407.9,
2014.34,40198.4,
2014.344,40136.6,
2014.348,40702.7,
2014.352,40711.6,
2014.356,40967.9,
2014.36,41047.9,
2014.364,41470.8,
2014.368,41803.1,
2014.372,41659.9,
2014.376,41641.1,
2014.38,42086.2,
2014.384,42236.8,
2014.388,42144.5,
2014.392,41561.8,
2014.396,41898.8,
2014.4,41840.1,
2014.404,41805.1,
2014.408,41829,
2014.412,41944,
2014.416,41917.9,
2014.42,42004.6,
2014.424,41959,
2014.428,41960.4,
2014.432,42009.9,
2014.436,41362.5,
2014.44,41936.7,
2014.444,42126.1,
2014.448,41953.3,
2014.452,42173,
2014.456,42778.3,
2014.46,43010,
2014.464,43045.3,
2014.468,42944.8,
2014.472,42617.6,
2014.476,42485.7,
2014.48,42596.3,
2014.484,42612.6,
2014.488,42802.6,
2014.492,42957.4,
2014.496,42865.7,
2014.5,42916.7,
2014.504,42884.8,
2014.508,42854.2,
2014.512,42613.8,
2014.516,42493.9,
2014.52,42737.2,
2014.524,42872.8,
2014.528,43279.5,
2014.532,43660.7,
2014.536,43518.1,
2014.54,43452.6,
2014.544,43403.4,
2014.548,43686.8,
2014.552,43474.3,
2014.556,43481.8,
2014.56,43967.4,
2014.564,43960.4,
2014.568,44009.2,
2014.572,43920.8,
2014.576,44278.9,
2014.58,44125.7,
2014.584,44257.1,
2014.588,44199,
2014.592,44420.4,
2014.596,44386.6,
2014.6,44545,
2014.604,44481.3,
2014.608,44311.1,
2014.612,43817.7,
2014.616,43986.1,
2014.62,44594.7,
2014.624,44481.7,
2014.628,44425.8,
2014.632,44116.1,
2014.636,44105.9,
2014.64,44679.2,
2014.644,44734,
2014.648,44724,
2014.652,44793,
2014.656,44629.3,
2014.66,44854.8,
2014.664,44962.9,
2014.668,45248.1,
2014.672,45410.4,
2014.676,45375,
2014.68,45504.3,
2014.684,45464.8,
2014.688,45601,
2014.692,45501.3,
2014.696,45628.1,
2014.7,45438,
2014.704,45825.1,
2014.708,46049.3,
2014.712,46313.4,
2014.716,46231.4,
2014.72,46357.2,
2014.724,45915.2,
2014.728,45894.1,
2014.732,45672.6,
2014.736,45799.7,
2014.74,45861.8,
2014.744,46043.6,
2014.748,46168.6,
2014.752,45761.9,
2014.756,45302,
2014.76,45015.2,
2014.764,45116.9,
2014.768,44781.1,
2014.772,44884.3,
2014.776,44898.2,
2014.78,44985.7,
2014.784,44365,
2014.788,44254.4,
2014.792,44678.1,
2014.796,44820.9,
2014.8,44536.6,
2014.804,44488,
2014.808,44082.2,
2014.812,43435.7,
2014.816,43088.7,
2014.82,43179.9,
2014.824,42984.9,
2014.828,42907.6,
2014.832,43273.5,
2014.836,43213.9,
2014.84,43630.6,
2014.844,43450.8,
2014.848,43691.1,
2014.852,43665.5,
2014.856,43810.5,
2014.86,44039.6,
2014.864,44238.9,
2014.868,44599.3,
2014.872,45027.5,
2014.876,45184.8,
2014.88,44884.4,
2014.884,45072,
2014.888,44849.9,
2014.892,44614.7,
2014.896,44523,
2014.9,44300.8,
2014.904,43744.6,
2014.908,43743.8,
2014.912,43372,
2014.916,43491.4,
2014.92,44118.1,
2014.924,44209.4,
2014.928,44633.3,
2014.932,44621.1,
2014.936,44441,
2014.94,44672.2,
2014.944,44689.2,
2014.948,44190.5,
2014.952,43392.1,
2014.956,43008.1,
2014.96,43112.3,
2014.964,42816.1,
2014.968,43230.3,
2014.972,42941.8,
2014.976,42339.6,
2014.98,41372.7,
2014.984,41714.6,
2014.988,40334.6,
2014.992,40225.1,
2014.996,41004.4,
2015,42475.7,
2015.004,42529.9,
2015.008,43187.6,
2015.012,43018.8,
2015.016,43145.7,
2015.02,42115.5,
2015.024,41099.4,
2015.028,41329.4,
2015.032,41813.9,
2015.036,42402.3,
2015.04,42382.4,
2015.044,41780.8,
2015.048,41478.3,
2015.052,40984.2,
2015.056,40998.8,
2015.06,41402,
2015.064,41285.6,
2015.068,41752.7,
2015.072,42488.7,
2015.076,43121.3,
2015.08,42649.7,
2015.084,42737.9,
2015.088,42627.8,
2015.092,42158.1,
2015.096,41862.3,
2015.1,40950.6,
2015.104,40950.6,
2015.108,41572.2,
2015.112,41710.8,
2015.116,42453.6,
2015.12,42715.4,
2015.124,42810.3,
2015.128,42635.2,
2015.132,41933.3,
2015.136,43045.5,
2015.14,43072.4,
2015.144,42959.6,
2015.148,43251.8,
2015.152,43053.6,
2015.156,43231.4,
2015.16,43551.3,
2015.164,43675.9,
2015.168,43921.6,
